区县id,2015年早稻,2016年早稻,2017年早稻,2015年晚稻,2016年晚稻,2017年晚稻
county1,15.81258922,15.87815823,15.83568061,15.75418158,15.740001,15.63615529
county2,16.65800809,16.62393134,16.55591589,16.66686669,16.68607944,16.58338457
county3,15.20632569,15.08539279,15.04978773,15.17731091,14.99599587,14.88985661
county4,15.35206102,15.31176392,15.23660435,15.02041269,15.00548815,14.88230631
county5,15.94274907,15.9437959,15.87600966,16.01972124,15.98924879,15.9059797
county6,17.3060965,17.34630388,17.31983897,17.09966546,17.17471838,17.06680554
county7,17.30532603,17.28570519,17.20929124,17.32374001,17.33146291,17.292745
county8,12.82901707,12.93172368,12.72483356,12.31855693,12.43754143,12.42241173
county9,15.97989293,16.03255138,15.92342429,15.9306535,15.93868184,15.86949745
county10,16.24091764,16.29425403,16.23147865,15.86162297,15.95530572,15.81721802
county11,16.14390551,16.12097734,15.98809794,15.62649275,15.5683246,15.48638411
county12,15.29571944,15.18661917,15.12088544,13.81674169,13.7157958,13.70664926
county13,14.96704564,14.91876263,14.80405991,14.39246702,14.1581789,14.03097657
county14,12.74275363,12.48419605,12.24519912,12.35912909,11.93346568,11.41813723
county15,9.317050764,9.600024386,9.51949866,6.273329387,6.102448178,6.000676105
county16,13.50792345,13.54872319,13.56016085,10.51620233,10.20380069,7.428108883
county17,15.37534087,15.19159635,15.05716043,15.18949025,14.95818203,14.92972721
county18,16.76285798,16.8632204,16.70878335,16.29288975,16.48181929,16.41182558
county19,15.66898384,15.58780212,15.36988016,15.4320391,15.22822007,15.10310049
county20,17.16976375,17.20686308,16.97467259,16.98766716,17.03001616,16.94370309
county21,15.80576402,15.54496715,15.32780523,15.67888866,15.38191061,15.29738955
county22,15.7820563,15.70106356,15.43280807,15.49011819,15.48950963,15.36807022
county23,15.72537212,15.64959104,15.66455228,15.52643964,15.39137786,15.41815799
county26,15.86876035,15.93771128,15.81073906,15.48068514,15.5389658,15.47913859
county27,15.83190742,15.71919253,15.58477082,14.34730855,14.1492843,14.16493991
county28,14.34910358,14.35150038,14.33425024,13.55998048,13.27645886,13.0712914
county29,13.26346581,13.19961407,13.13936269,13.27108655,13.22007899,13.17717346
county30,15.26510515,15.24479157,15.18588977,14.94526962,14.93281775,14.95748253
county31,16.6851052,16.66347889,16.64839115,16.69598376,16.6769014,16.66034555
county32,14.6254463,14.58349358,14.52572939,14.44966776,14.3903994,14.37660906
county33,16.39627581,16.45336598,16.42771861,16.38450857,16.42611452,16.35583318
county34,7.106327379,7.274634403,7.334943631,10.03675058,10.2067946,10.08095073
county35,15.89347953,15.90614581,15.84061223,17.02260189,17.03372927,16.98058522
county36,11.30774727,11.095608,11.02993595,12.38182411,12.10268109,11.8543113
county37,14.91973113,14.74642509,14.69724398,15.30724813,15.32740703,15.14531285
county38,14.12526735,14.43276567,14.35867798,13.35682745,13.28605955,13.17291812
county39,12.82986343,12.73350475,12.66383159,13.25123829,13.07982475,13.06098127
county40,15.26625619,15.05125483,14.98566719,15.94195084,15.79090971,15.65780913
county41,17.11350055,17.07134284,16.999289,17.43482806,17.46357402,17.37011276
county42,16.49039119,16.56164669,16.50689531,16.67481459,16.70993058,16.61498958
county43,16.3465404,15.85354641,15.8190901,15.83461968,15.82466768,15.83150964
county44,17.14063638,17.17390869,17.07313309,17.33270846,17.35454021,17.27490962
county45,17.87700518,17.93043515,17.86578177,17.92996548,17.98360634,17.90611762
county46,15.34860368,15.41318859,15.34537025,15.21826239,15.28732641,15.28034705
county47,16.50279126,16.51383367,16.4645708,16.64581757,16.61193153,16.47800754
county48,16.79748447,16.77756317,16.7316025,16.87332899,16.84542855,16.72768332
county49,17.36343838,17.37483759,17.28472986,17.48465991,17.49616042,17.42031521
county50,17.01343554,17.03511525,16.94978648,17.29134556,17.24628802,17.0681701
county51,14.4005933,14.30889217,14.26142577,13.71022958,13.6011649,13.62892621
county52,15.07047822,15.12745152,15.0612733,14.27490152,14.1755628,14.07422761
county53,15.15772864,15.11900554,15.03639987,14.94608109,15.07246845,14.9496594
county54,14.70731545,14.70039149,14.67006865,14.49259054,14.82303181,14.72008658
county55,13.23802998,13.34286915,13.30891918,13.81450837,13.67076467,13.64807104
county56,10.63659743,10.99888655,10.92915483,15.85551626,15.5638484,15.38712104
county58,10.64808789,10.93666002,10.86527704,11.57805185,11.3983803,11.30598192
county60,13.92215045,13.78924528,13.70459967,12.59702829,12.63349024,12.21244775
county61,12.16854677,12.07616423,12.05053911,10.65478817,10.36839733,10.17000014
county62,7.744295669,8.261624836,8.125671763,7.620806317,7.556276125,7.56567333
county63,15.99135642,16.0696887,15.97978042,16.01630274,16.14900756,16.11932031
county64,15.74519084,15.63165937,15.53934907,15.63120491,15.47267783,15.37578883
county65,15.98829947,15.99535489,15.89878629,15.41322529,15.37925076,15.34232091
county66,15.52715961,15.49364533,15.50292222,14.23068997,13.94242928,13.84745478
county67,13.79773852,13.73936293,13.73527148,12.58263832,12.44113381,12.30513834
county71,12.90929496,12.92276649,12.91277522,11.92094455,11.87320185,11.84874811
county72,15.21172863,15.18633442,15.17868391,14.36918154,14.31593072,14.33362499
county73,13.02999977,13.23569416,13.16555712,12.40659832,12.21524176,12.19158979
county74,13.1385614,13.33589694,13.32399063,12.23343693,12.15893151,11.65294802
county75,13.93782988,13.98947078,13.96784857,13.45951487,13.57854724,13.64605462
county76,15.80376914,15.76707049,15.6743705,15.62811513,15.69441883,15.61258777
county77,17.03651643,16.98897708,16.92490735,16.31654971,16.27187989,16.21857383
county78,14.66820967,14.63465622,14.62933385,14.57170643,14.4664933,14.44236428
county79,16.35549168,16.40432699,16.30267141,16.06804075,16.10433789,16.01620762
county80,15.5965395,15.62946449,15.6240649,15.49055634,15.5383866,15.51160782
